Date of incident,Incident Category,Modus Operandi,Product Category,Location Type,High Value,Value EUR,City,Country
03.04.2026,Counterfeit,Deception Other,Cosmetics & Hygiene,Origin Facility,No,N/A,,India
03.04.2026,Counterfeit,Deception Other,Clothing & Footwear,Origin Facility,Yes,107381,Pasay,Philippines
03.04.2026,Counterfeit,Deception Other,Tobacco,En Route,No,9231,New Delhi,India
03.04.2026,Theft,Intrusion,Fuel Theft,Origin Facility,No,N/A,,India
02.04.2026,Counterfeit,Deception Other,Food & Drink,Origin Facility,No,N/A,,India
01.04.2026,Counterfeit,Deception Other,Food & Drink,Retail Store,No,9075,Hyderabad,India
31.03.2026,Theft from Vehicle,Intrusion,Fuel Theft,Unclassified Parking,No,140,Quezon City,Philippines
30.03.2026,Counterfeit,Deception Other,Miscellaneous Electronics,Origin Facility,No,59413,,Thailand
29.03.2026,Counterfeit,Deception Other,Food & Drink,Origin Facility,No,N/A,Dwarka,India
29.03.2026,Counterfeit,Deception Other,Food & Drink,Origin Facility,No,N/A,Dwarka,India
29.03.2026,Counterfeit,Deception Other,Miscellaneous,En Route,Yes,1061928,,Thailand
29.03.2026,Counterfeit,Deception Other,Pharmaceuticals,Origin Facility,No,N/A,,India
28.03.2026,Counterfeit,Deception Other,Food & Drink,Origin Facility,No,N/A,Warangal,India
28.03.2026,Counterfeit,Deception Other,Food & Drink,Origin Facility,No,N/A,Hyderabad,India
28.03.2026,Counterfeit,Deception Other,Food & Drink,Origin Facility,No,N/A,Hyderabad,India
28.03.2026,Counterfeit,Deception Other,Food & Drink,Origin Facility,No,N/A,Warangal,India
28.03.2026,Counterfeit,Deception Other,Food & Drink,Origin Facility,No,N/A,Hyderabad,India
28.03.2026,Counterfeit,Deception Other,Food & Drink,Origin Facility,No,N/A,Hyderabad,India
28.03.2026,Counterfeit,Deception Other,Tobacco,Aviation Transportation Facility,No,46740,,India
28.03.2026,Theft,Intrusion,Food & Drink,Origin Facility,No,2245,,India
27.03.2026,Counterfeit,Deception Other,Pharmaceuticals,Origin Facility,No,N/A,New Delhi,India
27.03.2026,Robbery,Internal,Cash,En Route,No,N/A,,India
27.03.2026,Counterfeit,Deception Other,Pharmaceuticals,Origin Facility,No,N/A,New Delhi,India
27.03.2026,Robbery,Internal,Cash,En Route,No,N/A,,India
26.03.2026,Counterfeit,Deception Other,Cosmetics & Hygiene,Origin Facility,No,24967,,Hong Kong
26.03.2026,Counterfeit,Deception Other,Tobacco,Origin Facility,No,27345,Plaridel,Philippines
26.03.2026,Counterfeit,Deception Other,Miscellaneous,Origin Facility,Yes,358817,City of Manila,Philippines
26.03.2026,Counterfeit,Deception Other,Tobacco,Unknown,No,N/A,Uson,Philippines
26.03.2026,Theft of Vehicle,Violent & Threat with Violence,Food & Drink,Unclassified Parking,No,19998,,India
25.03.2026,Theft from Facility,Intrusion,Fuel Theft,Origin Facility,No,N/A,,Pakistan
25.03.2026,Counterfeit,Deception Other,Clothing & Footwear,Origin Facility,No,N/A,,India
24.03.2026,Counterfeit,Deception Other,Pharmaceuticals,Retail Store,No,13975,,Hong Kong
24.03.2026,Counterfeit,Deception Other,Clothing & Footwear,En Route,Yes,327158,,Hong Kong
24.03.2026,Theft from Vehicle,Intrusion,Fuel Theft,Unclassified Parking,No,115,Tacloban City,Philippines
24.03.2026,Counterfeit,Deception Other,Pharmaceuticals,Retail Store,No,13975,,Hong Kong
